"NGA","PolID","Time","uniq","Dupl","Pastor"
"Upper Egypt","EgNaqa2",-3400,"y","n",3
"Upper Egypt","EgNaqa3",-3300,"y","n",3
"Upper Egypt","EgNaqa3",-3200,"n","n",3
"Upper Egypt","EgDyn1*",-3100,"y","n",3
"Upper Egypt","EgDyn1*",-3000,"n","n",2
"Upper Egypt","EgDyn2*",-2900,"y","n",2
"Upper Egypt","EgDyn2*",-2800,"y","n",2
"Upper Egypt","EgDyn2*",-2700,"y","n",2
"Upper Egypt","EgOldK1",-2600,"y","n",2
"Upper Egypt","EgOldK1",-2500,"n","n",2
"Upper Egypt","EgOldK1",-2400,"n","n",2
"Upper Egypt","EgOldK2",-2300,"y","n",2
"Upper Egypt","EgOldK2",-2200,"n","n",2
"Upper Egypt","EgRegns",-2100,"y","n",2
"Upper Egypt","EgMidKg",-2000,"y","n",2
"Upper Egypt","EgMidKg",-1900,"y","n",2
"Upper Egypt","EgMidKg",-1800,"y","n",2
"Upper Egypt","EgThebH",-1700,"y","n",2
"Upper Egypt","EgThebH",-1600,"n","n",2
"Upper Egypt","EgNKThu",-1500,"y","n",2
"Upper Egypt","EgNKThu",-1400,"y","n",2
"Upper Egypt","EgNKThu",-1300,"y","n",2
"Upper Egypt","EgNKRam",-1200,"y","n",2
"Upper Egypt","EgNKRam",-1100,"y","n",2
"Upper Egypt","EgThebL",-1000,"y","n",2
"Upper Egypt","EgThebL",-900,"y","n",2
"Upper Egypt","EgThebL",-800,"n","n",2
"Upper Egypt","SdKusht",-700,"y","n",2
"Upper Egypt","EgSaite",-600,"y","n",2
"Upper Egypt","IrAchae",-500,"y","y",3
"Upper Egypt","EgIntOc",-400,"y","n",3
"Upper Egypt","EgPtol1",-300,"y","n",3
"Upper Egypt","EgPtol2",-200,"y","n",3
"Upper Egypt","EgPtol2",-100,"y","n",3
"Upper Egypt","ItRomPr",0,"y","y",3
"Upper Egypt","ItRomPr",100,"n","y",3
"Upper Egypt","ItRomPr",200,"n","y",3
"Upper Egypt","TrRomDm",300,"y","y",3
"Upper Egypt","TrERom*",400,"y","y",3
"Upper Egypt","TrERom*",500,"n","y",3
"Upper Egypt","TrERom*",600,"n","y",3
"Upper Egypt","SyCalUm",700,"y","y",3
"Upper Egypt","IqAbbs1",800,"y","y",3
"Upper Egypt","EgTulIk",900,"y","n",3
"Upper Egypt","TnFatim",1000,"y","n",3
"Upper Egypt","TnFatim",1100,"y","n",3
"Upper Egypt","EgAyyub",1200,"y","n",3
"Upper Egypt","EgMamBh",1300,"y","n",3
"Upper Egypt","EgMamCP",1400,"y","n",3
"Upper Egypt","EgMamBu",1500,"y","n",3
"Upper Egypt","TrOttm3",1600,"y","y",3
"Upper Egypt","TrOttm4",1700,"y","y",2
"Niger Inland Delta","MlJeJe1",-200,"y","n",3
"Niger Inland Delta","MlJeJe1",-100,"n","n",3
"Niger Inland Delta","MlJeJe1",0,"n","n",3
"Niger Inland Delta","MlJeJe2",100,"y","n",3
"Niger Inland Delta","MlJeJe2",200,"n","n",3
"Niger Inland Delta","MlJeJe2",300,"n","n",3
"Niger Inland Delta","MlJeJe3",400,"y","n",3
"Niger Inland Delta","MlJeJe3",500,"n","n",3
"Niger Inland Delta","MlJeJe3",600,"n","n",3
"Niger Inland Delta","MlJeJe3",700,"n","n",3
"Niger Inland Delta","MlJeJe3",800,"n","n",3
"Niger Inland Delta","MlJeJe4",900,"y","n",3
"Niger Inland Delta","MrWagdM",1000,"y","n",3
"Niger Inland Delta","MrWagdL",1100,"y","n",3
"Niger Inland Delta","MrWagdL",1200,"n","n",3
"Niger Inland Delta","MlMali*",1300,"y","n",2
"Niger Inland Delta","MlMali*",1400,"y","n",2
"Niger Inland Delta","MlSong2",1500,"y","n",2
"Niger Inland Delta","MaSaadi",1600,"y","n",2
"Niger Inland Delta","MlSegou",1700,"y","n",2
"Niger Inland Delta","MlBaman",1800,"y","n",2
"Ghanaian Coast","GhAshnE",1600,"y","n",2
"Ghanaian Coast","GhAshnE",1700,"y","n",2
"Ghanaian Coast","GhAshnL",1800,"y","n",2
"Southern Mesopotamia","IqSoNeo",-9000,"y","n",1
"Southern Mesopotamia","IqSoNeo",-8900,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8800,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8700,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8600,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8500,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8400,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8300,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8200,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8100,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8000,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7900,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7800,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7700,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7600,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7500,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7400,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7300,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7200,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7100,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7000,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6900,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6800,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6700,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6600,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6500,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6400,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6300,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6200,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6100,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6000,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5900,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5800,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5700,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5600,"n","n",2
"Southern Mesopotamia","IqUbaid",-5500,"y","n",2
"Southern Mesopotamia","IqUbaid",-5400,"n","n",2
"Southern Mesopotamia","IqUbaid",-5300,"n","n",2
"Southern Mesopotamia","IqUbaid",-5200,"n","n",2
"Southern Mesopotamia","IqUbaid",-5100,"n","n",2
"Southern Mesopotamia","IqUbaid",-5000,"n","n",3
"Southern Mesopotamia","IqUbaid",-4900,"n","n",3
"Southern Mesopotamia","IqUbaid",-4800,"n","n",3
"Southern Mesopotamia","IqUbaid",-4700,"n","n",3
"Southern Mesopotamia","IqUbaid",-4600,"n","n",3
"Southern Mesopotamia","IqUbaid",-4500,"n","n",3
"Southern Mesopotamia","IqUbaid",-4400,"n","n",3
"Southern Mesopotamia","IqUbaid",-4300,"n","n",3
"Southern Mesopotamia","IqUruk*",-4200,"y","n",3
"Southern Mesopotamia","IqUruk*",-4100,"n","n",3
"Southern Mesopotamia","IqUruk*",-4000,"n","n",3
"Southern Mesopotamia","IqUruk*",-3900,"n","n",3
"Southern Mesopotamia","IqUruk*",-3800,"n","n",3
"Southern Mesopotamia","IqUruk*",-3700,"n","n",3
"Southern Mesopotamia","IqUruk*",-3600,"n","n",3
"Southern Mesopotamia","IqUruk*",-3500,"y","n",3
"Southern Mesopotamia","IqUruk*",-3400,"n","n",3
"Southern Mesopotamia","IqUruk*",-3300,"n","n",3
"Southern Mesopotamia","IqUruk*",-3200,"n","n",3
"Southern Mesopotamia","IqUruk*",-3100,"n","n",3
"Southern Mesopotamia","IqUruk*",-3000,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2900,"y","n",3
"Southern Mesopotamia","IqEDyn*",-2800,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2700,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2600,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2500,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2400,"n","n",3
"Southern Mesopotamia","IqAkkad",-2300,"y","n",3
"Southern Mesopotamia","IqAkkad",-2200,"y","n",3
"Southern Mesopotamia","IqUrIII",-2100,"y","n",3
"Southern Mesopotamia","IqIsinL",-2000,"y","n",3
"Southern Mesopotamia","IqIsinL",-1900,"n","n",3
"Southern Mesopotamia","IqBabAm",-1800,"y","n",3
"Southern Mesopotamia","IqBabAm",-1700,"n","n",3
"Southern Mesopotamia","IqBabAm",-1600,"n","n",3
"Southern Mesopotamia","IqBabKs",-1500,"y","n",3
"Southern Mesopotamia","IqBabKs",-1400,"n","n",3
"Southern Mesopotamia","IqBabKs",-1300,"n","n",3
"Southern Mesopotamia","IqBabKs",-1200,"n","n",3
"Southern Mesopotamia","IqIsin2",-1100,"y","n",3
"Southern Mesopotamia","IqBazi*",-1000,"y","n",3
"Southern Mesopotamia","IqDynE*",-900,"y","n",3
"Southern Mesopotamia","IqDynE*",-800,"n","n",3
"Southern Mesopotamia","IqNAssr",-700,"y","n",3
"Southern Mesopotamia","IqNeoBb",-600,"y","n",3
"Southern Mesopotamia","IrAchae",-500,"y","y",3
"Southern Mesopotamia","IrAchae",-400,"n","y",3
"Southern Mesopotamia","IrSeleu",-300,"y","y",3
"Southern Mesopotamia","IrSeleu",-200,"n","y",3
"Southern Mesopotamia","IrPart1",-100,"y","y",3
"Southern Mesopotamia","IrPart1",0,"n","y",3
"Southern Mesopotamia","IrPart2",100,"y","n",3
"Southern Mesopotamia","IrPart2",200,"y","n",3
"Southern Mesopotamia","IrSasn1",300,"y","y",3
"Southern Mesopotamia","IrSasn1",400,"n","y",3
"Southern Mesopotamia","IrSasn2",500,"y","y",3
"Southern Mesopotamia","IrSasn2",600,"n","y",3
"Southern Mesopotamia","SyCalUm",700,"y","n",3
"Southern Mesopotamia","IqAbbs1",800,"y","n",3
"Southern Mesopotamia","IqAbbs1",900,"y","n",3
"Southern Mesopotamia","IrBuyid",1000,"y","y",3
"Southern Mesopotamia","IrSeljq",1100,"y","y",3
"Southern Mesopotamia","IqAbbs2",1200,"y","n",3
"Southern Mesopotamia","IrIlkhn",1300,"y","y",3
"Southern Mesopotamia","UzTimur",1400,"y","y",3
"Southern Mesopotamia","IrSafvd",1500,"y","y",3
"Southern Mesopotamia","TrOttm3",1600,"y","y",3
"Southern Mesopotamia","TrOttm4",1700,"y","y",3
"Southern Mesopotamia","TrOttm4",1800,"n","y",3
"Susiana","IrPrCer",-7800,"y","n",2
"Susiana","IrPrCer",-7700,"n","n",2
"Susiana","IrPrCer",-7600,"n","n",2
"Susiana","IrPrCer",-7500,"n","n",2
"Susiana","IrPrCer",-7400,"n","n",2
"Susiana","IrPrCer",-7300,"n","n",2
