"NGA","PolID","Time","Class","uniq","Dupl","n"
"Southern Mesopotamia","IqIsinL",-1900,3,"n","n",1
"Southern Mesopotamia","IqBabAm",-1800,3,"y","n",1
"Southern Mesopotamia","IqBabAm",-1700,3,"n","n",1
"Southern Mesopotamia","IqBabAm",-1600,3,"n","n",1
"Southern Mesopotamia","IqBabKs",-1500,3,"y","n",1
"Southern Mesopotamia","IqBabKs",-1400,3,"n","n",1
"Southern Mesopotamia","IqBabKs",-1300,3,"n","n",1
"Southern Mesopotamia","IqBabKs",-1200,3,"n","n",1
"Southern Mesopotamia","IqIsin2",-1100,3,"y","n",1
"Southern Mesopotamia","IqBazi*",-1000,3,"y","n",1
"Southern Mesopotamia","IqDynE*",-900,3,"y","n",1
"Southern Mesopotamia","IqDynE*",-800,3,"n","n",1
"Southern Mesopotamia","IqNAssr",-700,3,"y","n",1
"Southern Mesopotamia","IqNeoBb",-600,3,"y","n",1
"Southern Mesopotamia","IrAchae",-500,3,"y","y",1
"Southern Mesopotamia","IrAchae",-400,3,"n","y",1
"Southern Mesopotamia","IrSeleu",-300,3,"y","y",1
"Southern Mesopotamia","IrSeleu",-200,3,"n","y",1
"Southern Mesopotamia","IrPart1",-100,3,"y","y",1
"Southern Mesopotamia","IrPart1",0,3,"n","y",1
"Southern Mesopotamia","IrPart2",100,3,"y","n",1
"Southern Mesopotamia","IrPart2",200,3,"y","n",1
"Southern Mesopotamia","IrSasn1",300,3,"y","y",1
"Southern Mesopotamia","IrSasn1",400,3,"n","y",1
"Southern Mesopotamia","IrSasn2",500,3,"y","y",1
"Southern Mesopotamia","IrSasn2",600,3,"n","y",1
"Southern Mesopotamia","SyCalUm",700,3,"y","n",1
"Southern Mesopotamia","IqAbbs1",800,3,"y","n",1
"Southern Mesopotamia","IqAbbs1",900,3,"y","n",1
"Southern Mesopotamia","IrBuyid",1000,3,"y","y",1
"Southern Mesopotamia","IrSeljq",1100,3,"y","y",1
"Southern Mesopotamia","IqAbbs2",1200,3,"y","n",1
"Southern Mesopotamia","IrIlkhn",1300,3,"y","y",1
"Southern Mesopotamia","UzTimur",1400,3,"y","y",1
"Southern Mesopotamia","IrSafvd",1500,3,"y","y",1
"Southern Mesopotamia","TrOttm3",1600,3,"y","y",1
"Southern Mesopotamia","TrOttm4",1700,3,"y","y",1
"Southern Mesopotamia","TrOttm4",1800,3,"n","y",1
"Susiana","IrPrCer",-7800,2,"y","n",1
"Susiana","IrPrCer",-7700,2,"n","n",1
"Susiana","IrPrCer",-7600,2,"n","n",1
"Susiana","IrPrCer",-7500,2,"n","n",1
"Susiana","IrPrCer",-7400,2,"n","n",1
"Susiana","IrPrCer",-7300,2,"n","n",1
"Susiana","IrForma",-7200,2,"y","n",1
"Susiana","IrForma",-7100,2,"n","n",1
"Susiana","IrArcha",-7000,2,"y","n",1
"Susiana","IrArcha",-6900,2,"n","n",1
"Susiana","IrArcha",-6800,2,"n","n",1
"Susiana","IrArcha",-6700,2,"n","n",1
"Susiana","IrArcha",-6600,2,"n","n",1
"Susiana","IrArcha",-6500,2,"n","n",1
"Susiana","IrArcha",-6400,2,"n","n",1
"Susiana","IrArcha",-6300,2,"n","n",1
"Susiana","IrArcha",-6200,2,"n","n",1
"Susiana","IrArcha",-6100,2,"n","n",1
"Susiana","IrKhzE*",-6000,2,"y","n",1
"Susiana","IrKhzE*",-5900,2,"n","n",1
"Susiana","IrKhzE*",-5800,2,"n","n",1
"Susiana","IrKhzEM",-5700,2,"y","n",1
"Susiana","IrKhzEM",-5600,2,"n","n",1
"Susiana","IrKhzEM",-5500,3,"n","n",1
"Susiana","IrKhzEM",-5400,3,"n","n",1
"Susiana","IrKhzEM",-5300,3,"n","n",1
"Susiana","IrKhzEM",-5200,3,"n","n",1
"Susiana","IrKhzM*",-5100,3,"y","n",1
"Susiana","IrKhzM*",-5000,2.5,"n","n",1
"Susiana","IrKhzM*",-4900,2.5,"y","n",1
"Susiana","IrKhzM*",-4800,2.5,"n","n",1
"Susiana","IrKhzL*",-4700,2.5,"y","n",1
"Susiana","IrKhzL*",-4600,2.5,"n","n",1
"Susiana","IrKhzL*",-4500,2.5,"n","n",1
"Susiana","IrKhzL*",-4400,2.5,"n","n",1
"Susiana","IrSusa1",-4300,2.5,"y","n",1
"Susiana","IrSusa1",-4200,2.5,"n","n",1
"Susiana","IrSusa1",-4100,2.5,"n","n",1
"Susiana","IrSusa1",-4000,2,"n","n",1
"Susiana","IrSusa1",-3900,2,"y","n",1
"Susiana","IrSusa2",-3800,2,"y","n",1
"Susiana","IrSusa2",-3700,2,"y","n",1
"Susiana","IrSusa2",-3600,2,"y","n",1
"Susiana","IrSusa2",-3500,2.5,"y","n",1
"Susiana","IrSusa2",-3400,2.5,"y","n",1
"Susiana","IrSusa2",-3300,2.5,"n","n",1
"Susiana","IrSusa2",-3200,2.5,"y","n",1
"Susiana","IrSusa3",-3100,2.5,"y","n",1
"Susiana","IrSusa3",-3000,3,"n","n",1
"Susiana","IrSusa3",-2900,3,"n","n",1
"Susiana","IrSusa3",-2800,3,"n","n",1
"Susiana","IrSusa3",-2700,3,"n","n",1
"Susiana","IrAwanE",-2600,3,"y","n",1
"Susiana","IrAwanE",-2500,3,"n","n",1
"Susiana","IrAwanE",-2400,3,"n","n",1
"Susiana","IrAwanE",-2300,3,"n","n",1
"Susiana","IqAkkad",-2200,3,"y","y",1
"Susiana","IqUrIII",-2100,3,"y","y",1
"Susiana","IrShima",-2000,3,"y","n",1
"Susiana","IrSukkE",-1900,3,"y","n",1
"Susiana","IrSukkE",-1800,3,"n","n",1
"Susiana","IrSukkL",-1700,3,"y","n",1
"Susiana","IrSukkL",-1600,3,"y","n",1
"Susiana","IrMElm1",-1500,3,"y","n",1
"Susiana","IrMElm2",-1400,3,"y","n",1
"Susiana","IrMElm2",-1300,3,"y","n",1
"Susiana","IrMElm3",-1200,3,"y","n",1
"Susiana","IrElmCP",-1100,3,"y","n",1
"Susiana","IrElmCP",-1000,3,"n","n",1
"Susiana","IrNElm1",-900,3,"y","n",1
"Susiana","IrNElm1",-800,3,"n","n",1
"Susiana","IrNElm2",-700,3,"y","n",1
"Susiana","IrNElm3",-600,3,"y","n",1
"Susiana","IrAchae",-500,3,"y","n",1
"Susiana","IrAchae",-400,3,"y","n",1
"Susiana","IrSeleu",-300,3,"y","n",1
"Susiana","IrSeleu",-200,3,"y","n",1
"Susiana","IrPart1",-100,3,"y","n",1
"Susiana","IrPart1",0,3,"y","n",1
"Susiana","IrElym2",100,3,"y","n",1
"Susiana","IrElym2",200,3,"n","n",1
"Susiana","IrSasn1",300,3,"y","n",1
"Susiana","IrSasn1",400,3,"y","n",1
"Susiana","IrSasn2",500,3,"y","n",1
